ID,target
000137c73,2860382.2504123654
00021489f,2103601.9097534
0004d7953,1833454.4085855195
00056a333,3972482.7664853833
00056d8eb,2372130.5956717758
0005fc190,1364119.6712663444
000787e86,2601998.278870451
0008510a0,2133988.1470026574
000895faf,1873963.9953861672
000986fba,2462699.0347465132
0009efcc5,1971203.0640262694
000dd8f00,2242743.161675471
000e1cdc2,1641716.280067663
00103739c,2150682.1323379762
00134b367,1966417.827135718
001788d0d,1648046.149624694
0019c8ad7,3059545.9841523445
001a267b9,917737.8127191128
001a85486,1799472.9773935203
001c4de06,2892324.1356996037
001f9014b,1420781.7402650104
00216fb94,2501330.952520362
00235690e,2037002.723148452
00240739d,2740739.4914701465
0024c3747,2162440.723878374
00297052d,1599999.9849548745
002ab8f85,2305952.999653546
002bed5c0,2329726.379247437
002bf3974,4583781.882436444
002d23a26,1806667.8494380435
002f27de9,1757763.3915742037
0030d8bb4,3264889.5597130917
003146acd,2252126.2096248404
003223263,1693389.0361981608
00335575e,2134053.4881003154
00337cf9d,3277750.5407685474
003394397,2949406.5515741357
0036358a3,1859428.441524789
003770d30,1107632.625354719
003bed5ea,2261994.2437635968
003ea6427,2944195.9715480255
003ef8132,1592274.4972360427
003fd1723,1542084.2332490631
0041861b4,1286704.8645919347
0042b718b,1195712.6326143218
004381d8f,3037920.5064647216
0043ca764,1845985.5766303707
004486837,3262974.405150803
0045c123e,2129748.450363969
0048915c6,2565580.714772269
004ab9a09,3052685.451419572
004b2e1c9,3596165.3239662573
004c54732,1039427.6556189389
004cdefce,2655639.994126041
004dd971b,3593231.0342236413
004f9329b,2351591.9584668945
004fd2bca,1091247.0437503518
0054bfedb,1907796.8472540446
0054ec58a,383402.85650313436
00551f45d,9040470.571646908
005777b4c,975800.8700868431
00578d6ea,1997665.4163060393
005802488,1092016.0408641892
0059833b6,815700.7105351661
005a70085,1982310.912079583
005b148a0,2366247.938035302
005c28df4,2369787.566725677
005f8dc26,2229746.1562965056
00603c202,4851438.201304102
006049609,1840005.831678271
00612f47e,2364345.8317850404
00647a57f,2420736.491439097
0065853ee,2375308.9383984036
006589d5e,1057506.4561473092
006598823,2302080.6243502917
0065c093c,2331200.524826728
006738351,1621321.4826964105
006a0c6a8,2498554.614345726
006e9efe6,789498.5785749415
006f029d3,2317839.1931265392
0070f35a2,1241458.9083658578
007135f85,2374444.0128301927
007285433,6957736.344003627
00735e101,1046478.1162955968
0074ecf4e,2257832.1508258674
007635fa9,1796321.075582456
007723613,2368064.2045520707
007867da9,2293752.363728494
0078bfbd6,754777.0257850796
0078ce229,2365879.05260368
007a89d50,1974076.777079404
007d43dfa,1476940.448362508
007ee9e05,1680724.213633373
007ffeae2,2232249.4868282643
00835c85c,1525676.5736178756
0084b08f1,2093032.8430172831
0087fb290,1998942.7402092891
0088a96bd,1978982.7532455637
008ac4292,2830584.3786701295
008d8cca8,1682027.5343840795
008e07b8c,1681605.531246113
008e5e25a,2710247.42729819
0094edcdb,7725554.612458884
00950141c,1729667.2152448776
009566ef1,3870297.747440874
0095c81d4,2375308.9383984036
0097a6ed4,3612720.6841198723
0098fef9a,1472102.0619801483
009b321ec,4217552.7075160565
009cd681e,2032927.362734281
009f34f86,2300786.7758678654
009f35cd3,2252834.216427952
009f65109,4632321.5085196765
00a19014a,1896108.5596546936
00a27e76a,685036.6866236837
00a3b6ef7,1806901.5969595031
00a427603,1049927.8730452782
00a6dc8be,2176284.6679620687
00a811734,4178987.5177455675
00a8f58a7,2356933.9799280595
00aaae151,2167786.845080621
00ab17f67,2092744.7142589851
00ac2d3a5,1459823.2569458915
00adab1b6,1936422.7430407908
00aef0d56,2325481.728842658
00b0b06c4,1341544.6420373847
00b0e2303,1266457.780831736
00b1fbbc9,861662.4039554688
00b43e0c1,3717037.2304369463
00b7190a8,2346515.7323033838
00b722e1b,1421198.5573726099
00bba815f,2043772.9219946433
00bbb1c42,2231147.1146532563
00bc2b665,2084097.5928395512
00bc35689,3424819.0924388105
00be23f52,3570925.8299646117
00be24ac5,1473087.9091696274
00bfd0f70,1881691.0513419532
00c02f73e,2451687.113119565
00c08e5b3,2035633.09692928
00c8690ff,1450894.1423138387
00c8df4d5,2945336.706296917
00c8e30de,1522560.8531494583
00ca3fb04,2475727.202237483
00cabf621,2405510.7122659488
00cb48ae3,1707700.4622770469
00cb6b147,1780918.644337436
00cc91a22,3322606.650619275
00cd65e9d,2739772.3662795974
00cd7d6a8,743069.292088261
00cdc1483,2484656.9996814574
00ce9bea5,2245748.3039077064
00cea0091,1859164.8743950755
00cea68c6,1575371.454009941
00d5a5975,3151353.557628591
00d80a3a4,18715321.66842265
00d9f3864,733167.6336991533
00da4bd31,1863143.2725843287
00df4dd77,2111438.9295130614
00e1a55bf,2366612.7327350667
00e332971,2361714.2922384567
00e5b6b1b,5403133.578397735
00e85d5e3,1686113.0890576711
00e90abfa,1700211.920522474
00e9708b4,2161680.053638861
00e9c680f,6840824.5273969555
00eaa4394,2368720.0855598133
00eae8832,3005501.846117085
00ebefdc0,2171941.7387055787
00ecbcb1b,1321690.911546728
00ed49382,6006954.216988957
00ed87564,2130576.5104832365
00ef96cfd,125622.05353676196
00efe7ca3,2166103.9147805725
00f36aa18,2333841.4310246967
00f3fb071,1522306.5651194502
00f43f548,2344786.5235053124
00f4d58ec,2375308.9383984036
00f56e106,1721053.2402769807
00f84d8c2,1219233.93283668
00f92953b,2342764.2493745554
00fa1d469,3817390.2408032
00ff96f49,2956230.342352888
0100ce0d8,3241957.3264039224
0102ea9e1,2110426.7760061845
0104b3af3,1635077.2464542296
010672441,2375308.9383984036
010771ca5,2397818.449033059
0108aea9f,2375538.407025713
010a479e1,1416061.620757471
010d0a2dd,6683820.2542580245
010e3cea2,2281748.6580583462
010e5417b,1603931.7019822265
01108a561,353370.93875683733
0110cca98,1036600.5946160827
011449698,1963293.6973606378
0114795f0,1878707.0544626855
011626c20,7172503.5694220485
0117c8f27,1254449.7204122709
0117dcb47,4096245.2328392253
0118c34be,2372016.5602277014
0119efcb9,995986.5941593157
011a58e13,2225745.0322677423
011b7902b,6541563.791374874
011ca122e,5937526.373791184
012053244,1187318.4932173067
0122a258e,869848.3247800431
0122a4305,2376228.1358036776
01230d8ba,2374725.4062342583
012414f4e,2400397.3095204365
012452125,784301.2411464942
0124529b5,1104781.6705734946
012556288,3928964.0696843583
01257c24c,2385659.4747770913
01258b972,2380714.1783170374
0125b64db,2402794.8808270367
01295ef92,1689150.3549387418
012a2752f,2321610.0311551644
012b6ba95,2758652.379499397
012b96b58,1475706.9213716807
012e881b9,2548840.5126314135
012f25e94,2084940.5536895236
012fa70bb,1807592.9326453519
01304fc0a,1174667.1045322395
013230913,1678409.1304548525
01336ceb8,1093182.7868373238
0133b85e7,3170541.439827437
0136f8766,2365715.887329231
0137356b9,1994128.8141061754
013750184,673157.1224884323
013a3f07c,2144077.938433657
013cc1c13,2319513.074072512
013e96334,1646365.4759691092
013fae0b1,1977653.5784829995
014076343,2300029.1696730284
0140ea0ba,1480308.8692615982
0143ee127,777825.9915926557
014461014,2487132.163550045
01446634f,1716337.8520146643
014729fb2,3359968.131825342
014749c88,2091127.8616725898
014787fc1,2608641.501978631
014a6143c,1417448.1963609587
014af25cd,2009420.6590837487
014b5797e,2308834.9387759785
014badcb1,2422893.5523447082
014c523b1,5552800.976090199
014e55fdb,2375398.8317075116
014ea0456,2165022.569974839
0151cc525,2032018.9793255911
015409983,1917601.5311966385
015411bfe,2128538.0034923987
01560b792,304080.1079382749
0157b07da,2470186.282982325
01587bbbc,2523534.5138406213
0158ba234,2487419.916957658
01590d52a,8621861.699244494
015a40790,854138.6843354753
015b07817,1556298.4245068922
015fc3313,4140420.0439877966
01604ee4b,2374689.0610604314
016054375,2990473.7845664136
01642dec0,883322.7051496139
0166ab5ea,2736217.463768201
016b405be,1391064.0799110872
016bdc940,5046621.078893788
016c31d1a,499990.1637780571
016d290da,6097636.202015875
016decdd2,2122330.95523328
016ee1214,2191259.2603899855
016efef23,2332621.3254084405
016f60448,2039479.0714942028
017029678,1060965.1960093465
01704d4ca,1299783.9376529285
0172638ce,2047804.6675274032
0173e6be5,2375308.9383984036
0174ed320,1759190.4689794583
017623c5c,2375308.9383984036
017a4044f,1968166.706750271
017a6c7f9,1819700.6050633902
017ae7ac3,1229546.7342579833
017b80d83,2604142.0598260676
017d9f1a4,2415340.876849569
017e22e34,4922310.0336601995
017e9a902,2716586.306774425
0180f14e9,2354660.0245434945
018148c57,1015452.1221273815
018166b42,2450739.165430062
0181a6d0e,2290400.5809863075
018283661,1866770.5532982848
0183f9b32,1341909.1829758175
0186cbba4,4083766.0407627574
0188bc86f,2404524.0454530786
01890383f,2630923.1991175497
018965366,2356273.3320721313
0189c8ab0,1669641.9833881443
018d514a2,821915.6388407896
018d765bb,1708720.1230944195
018dbbe73,2337451.3370691207
018de39ca,1438141.6156325547
018fd935f,2369214.629428248
018ffc9fa,5043644.8489333065
019372984,2145523.88511415
01937e592,1107866.013927804
019381521,2087314.6939106027
01952e574,1590262.5522600443
019540ad9,3157036.673154721
01955815c,2372938.5666076797
0196be03d,1535468.7777122243
01978c738,1353968.7775220457
0197f607c,2873914.8328311327
01980e862,2374157.2795846993
019823615,2375023.0181797943
019ab3785,1683845.2245839913
019c0d544,1942778.7956427946
019c5ad1d,2375308.9383984036
019cff829,2375308.9383984036
019ed3e51,2371849.079156112
019fd88df,1562065.2177355494
01a0a9e06,2374203.05269052
01a1f927c,2375308.9383984036
01a4d6c6c,1559206.1315645417
01a697820,2473325.254011747
01a72cedb,745443.7679173686
01a900d08,1132052.914411129
01a960c35,2395640.0326582184
01aa854be,2361922.9622815712
01ab08b6a,1938334.6661780793
01ad8126b,1358317.4506947605
01af69076,1965774.9556969854
01aff9a04,2194437.370861295
01b128a94,2369792.245510012
01b1e697f,2314745.534699706
01b3159e1,1811482.6067079348
01b342719,2155903.1060600323
01b375dad,2271390.3552336805
01b6d93e9,1945178.133576069
01b6e8722,1574991.523319121
01b728f6c,2367484.0734251994
01b784536,1201141.3969079396
01b7d0580,4513896.424051324
01b7defea,1757345.7701844631
01b80bb3c,1770611.4490233096
01b8c1484,2249657.8465077276
01bbb0d76,2354307.6716210702
01bc848d9,2922726.6566003016
01bd8211e,2487306.217992888
01bdda11d,1962465.7393701992
01be390b4,2044378.019499466
01be6122c,1456593.6934117011
01c1d1fb0,3457738.610108307
01c33d5d2,1987962.071665263
01c34e2ff,1621153.3611284103
01c362322,1892547.4888087136
01c553e1a,1699305.619920761
01c65531d,1108691.4550863656
01c6933d0,13062375.861456158
01c74c797,2518742.990572881
01c7eafe8,1059734.000889409
01c81cd35,5170441.308329156
01c898445,2336419.6597777237
01c9fd3a7,1282927.1205060955
01ca7113f,2375511.2787675927
01cb0f6ea,2398697.974358869
01cc582f5,451452.3929617527
01cca8141,5809270.6528554205
01cef01a2,751071.3736332363
01d10e85d,1301149.3291141307
01d193713,3781380.3156211036
01d2fecbe,1501974.7714421481
01d38c28f,2218658.549684353
01d396bc2,1993653.8817302925
01d7bfe15,1206554.7947929122
01d8282f2,2794678.1886212234
01d94bd22,2209175.9846984586
01da2afeb,1704189.9517518
01db02cda,1435321.4331282238
01dd4ee95,2375308.9383984036
